ID,Mass,X,Y,Speed,Direction
0,1,34.8666,236.561,17,1.03585
1,1,445.599,361.072,6,6.23927
2,1,159.896,455.406,7,4.56373
3,1,660.165,371.205,19,4.79959
4,1,631.798,581.32,3,2.31044
5,1,46.9,463.096,11,3.14341
6,1,31.3556,213.449,5,0.779478
7,1,58.0996,102.07,11,6.25749
8,1,592.506,590,14.7,-3.05482
9,1,218.039,165.376,10,2.86
0,1,35.7333,238.317,17,1.03585
1,1,446.199,361.339,6,6.23927
2,1,159.793,455.007,7,4.56373
3,1,660.331,369.606,19,4.79959
4,1,631.596,581.835,3,2.31044
5,1,45.8,463.388,11,3.14341
6,1,31.7113,214.095,5,0.779478
7,1,59.1993,102.335,11,6.25749
8,1,591.041,590,14.406,3.05482
9,1,217.079,165.948,10,2.86
0,1,36.5999,240.368,17,1.03585
1,1,446.798,361.901,6,6.23927
2,1,159.689,454.903,7,4.56373
3,1,660.496,368.302,19,4.79959
4,1,631.393,582.645,3,2.31044
5,1,44.7,463.974,11,3.14341
6,1,32.0669,215.034,5,0.779478
7,1,60.2989,102.895,11,6.25749
8,1,589.606,590,14.1179,-3.05482
9,1,216.118,166.814,10,2.86
0,1,36.5999,240.368,17,1.03585
1,1,446.798,361.901,6,6.23927
2,1,159.689,454.903,7,4.56373
3,1,660.496,368.302,19,4.79959
4,1,631.393,582.645,3,2.31044
5,1,44.7,463.974,11,3.14341
6,1,32.0669,215.034,5,0.779478
7,1,60.2989,102.895,11,6.25749
8,1,589.606,590,14.1179,-3.05482
9,1,216.118,166.814,10,2.86
0,1,37.4666,242.81,17,1.03585
1,1,447.398,362.855,6,6.23927
2,1,159.585,455.191,7,4.56373
3,1,660.662,367.389,19,4.79959
4,1,631.191,583.846,3,2.31044
5,1,43.6,464.952,11,3.14341
6,1,32.4226,216.366,5,0.779478
7,1,61.3985,103.847,11,6.25749
8,1,588.199,590,13.8355,3.05482
9,1,215.158,168.072,10,2.86
0,1,38.3332,245.743,17,1.03585
1,1,447.997,364.298,6,6.23927
2,1,159.482,455.969,7,4.56373
3,1,660.827,366.966,19,4.79959
4,1,630.989,585.538,3,2.31044
5,1,42.5,466.42,11,3.14341
6,1,32.7782,218.187,5,0.779478
7,1,62.4982,105.289,11,6.25749
8,1,586.821,590,13.5588,-3.05482
9,1,214.197,169.819,10,2.86
0,1,39.1999,249.263,17,1.03585
1,1,448.597,366.33,6,6.23927
2,1,159.378,457.334,7,4.56373
3,1,660.993,367.131,19,4.79959
4,1,630.787,587.818,3,2.31044
5,1,41.4,468.476,11,3.14341
6,1,33.1338,220.597,5,0.779478
7,1,63.5978,107.318,11,6.25749
8,1,585.47,590,13.2876,3.05482
9,1,213.236,172.155,10,2.86
0,1,39.1999,249.263,17,1.03585
1,1,448.597,366.33,6,6.23927
2,1,159.378,457.334,7,4.56373
3,1,660.993,367.131,19,4.79959
4,1,630.787,587.818,3,2.31044
5,1,41.4,468.476,11,3.14341
6,1,33.1338,220.597,5,0.779478
7,1,63.5978,107.318,11,6.25749
8,1,585.47,590,13.2876,3.05482
9,1,213.236,172.155,10,2.86
0,1,40.0665,253.47,17,1.03585
1,1,449.196,369.048,6,6.23927
2,1,159.274,459.386,7,4.56373
3,1,661.158,367.983,19,4.79959
4,1,630.585,590,2.94,-2.31044
5,1,40.3,471.218,11,3.14341
6,1,33.4895,223.692,5,0.779478
7,1,64.6975,110.034,11,6.25749
8,1,584.147,590,13.0219,-3.05482
9,1,212.276,175.177,10,2.86
0,1,40.9332,258.46,17,1.03585
1,1,449.795,372.549,6,6.23927
2,1,159.171,462.222,7,4.56373
3,1,661.324,369.618,19,4.79959
4,1,630.386,590,2.8812,2.31044
5,1,39.2,474.744,11,3.14341
6,1,33.8451,227.572,5,0.779478
7,1,65.7971,113.534,11,6.25749
8,1,582.849,590,12.7614,3.05482
9,1,211.315,178.983,10,2.86
0,1,41.7998,264.333,17,1.03585
1,1,450.395,376.933,6,6.23927
2,1,159.067,465.939,7,4.56373
3,1,661.489,372.135,19,4.79959
4,1,630.192,590,2.82358,-2.31044
5,1,38.1,479.152,11,3.14341
6,1,34.2008,232.333,5,0.779478
7,1,66.8967,117.916,11,6.25749
8,1,581.578,590,12.5062,-3.05482
